Water Year,layer_1,layer_11,layer_21,layer_31,layer_41,layer_51
1988-01-01,-885.6509919017553,-55.31677865050733,-33.56173272849992,-4.102443804091308,-65.20546259812545,-85.99644889761112
1989-01-01,25.36346646025777,-54.504854718456045,-9.479228400741704,22.132697557425217,21.1906246082508,-54.55240745781339
1990-01-01,-1423.548899076879,-96.38830644168775,-49.4671430055314,-25.290645687826327,-104.85564988758415,-100.0830449261266
1991-01-01,-654.8373803198338,-91.4346933583729,-46.48653509281576,-2.887930391545524,-43.25568498292705,-112.58166183554385
1992-01-01,791.6966357976198,-78.3226200643694,-27.674645854072878,-3.1172006186607177,-13.09810309635941,-36.47057901407061
1993-01-01,1443.5492628328502,-64.32103358581662,-79.48962466954254,-27.68997824928374,-120.04183118586661,-87.64269214211527
1994-01-01,-789.4641508571804,-79.12785445805639,-77.23285627551377,-12.414887770777568,-130.06021864170907,-182.6465638463851
1995-01-01,2266.137968018651,-35.82831794396043,-36.28631354100071,13.274199116436648,85.81373294920195,80.78065258660354
1996-01-01,-113.81356519833207,-36.020582150667906,-38.07477447506972,-1.0341755748086143,-48.42371045832988,-41.46182464342564
1997-01-01,-909.5032968763262,-46.72054281644523,-46.94005484133959,-7.10547270430834,-98.18153986264952,-155.20327238085156
1998-01-01,1822.2990735545754,-21.005853664129972,-18.675679318141192,6.102526762115303,66.90236284187995,92.52747595246183
1999-01-01,-361.7190987924114,-42.98472125828266,-34.6557373754913,-3.332687040390738,-46.60565320326714,-101.42490722532966
2000-01-01,-1366.29588499479,-69.88441892061383,-63.708995746448636,-25.219329188214033,-176.80754372983938,-217.3107557914377
2001-01-01,-2033.5549070760608,-93.44589458953124,-97.40837928419933,-19.708849976188503,-200.03354171011597,-364.2139036558219
2002-01-01,1041.9752757339738,-74.04135864356067,-66.55876995809376,-8.187935062405813,-45.78079776966479,-92.38695732450606
2003-01-01,797.5573230534792,-66.10103768948466,-52.76986010372639,-1.1245383193017915,-2.706250769784674,-30.87817180233833
2004-01-01,79.89390059234574,-60.45370172546245,-60.30107728205621,-1.5215779887448662,-70.11680816556327,-113.33789186258218
2005-01-01,1075.6669561341405,-55.33145375782624,-18.34571543894708,13.328657019912498,137.66048567491816,175.1374229398789
2006-01-01,1515.922596514225,-38.35132257267833,-20.58220889000222,6.048740508946139,56.493560681637064,100.55075929383747
2007-01-01,-2610.716665716842,-75.81587902840693,-69.4710072351154,-14.646634527642163,-129.80689930857625,-184.82918382776552
2008-01-01,-509.76391667779535,-83.38399684711476,-69.55739089366398,-9.646971353125991,-81.3289919863746,-160.49000295792757
2009-01-01,-1571.8873624838889,-94.73874421868823,-52.70434507355094,-7.866390617622528,-67.31851638644002,-143.78754864196526
2010-01-01,1590.2015141099691,-71.64719587482978,-28.61930219788337,4.057616369769676,0.8995218252530321,-28.930343346932204
2011-01-01,1385.6211525946856,-54.735233686864376,12.239997892640531,15.54041933087683,155.9907010589959,222.58013046951964
2012-01-01,-2321.146119233221,-88.40950795431854,-73.75565609316254,-18.73699954976837,-226.4399814788776,-258.48577228956856
2013-01-01,-1174.702898546122,-84.15180827060249,-46.983759373717476,6.35827507218346,-51.52494707699225,-195.70685631409287
2014-01-01,-1725.8811325132847,-102.60690619878005,-36.467210898968915,20.20159888046328,145.96359727106756,82.83572324621491
2015-01-01,-338.9332156535238,-97.71646916726604,-51.76131808012724,-10.227238173800288,7.372402973240241,60.40550449909642
2016-01-01,143.28397637605667,-89.44855689443648,-39.2563046439318,-21.487171984441375,-114.71133444309089,-110.57026274013333
2017-01-01,3027.4943456947803,-27.659379851073027,6.368215370923281,18.204678115448587,53.27718921896303,90.72254325076938
2018-01-01,-2221.916519900784,-68.02644103008788,-26.28060513152741,-6.131481862953478,-57.62664566950116,-78.62215514760464
